"V1","V2","V3","V4","V5"
9.62720987374155e-08,4.74797867688892e-10,1.88954185631474e-10,1.29991573061261e-10,9.99909044452352e-11
2.39926711831373e-08,5.45810951990688e-10,1.59273039201935e-10,1.23597798662445e-10,9.94528903675018e-11
1.98739795731484e-08,4.42884173779134e-10,1.75413350511633e-10,1.29658728198478e-10,1.00833341676321e-10
4.05276782133868e-08,5.17773046659897e-10,1.75675474167747e-10,1.35994326910804e-10,9.98788829420505e-11
4.78996797781406e-09,6.35947183802443e-10,1.77318382199587e-10,1.22823751169676e-10,9.94798687870002e-11
2.6094643557073e-08,5.88155968372917e-10,1.83099091444205e-10,1.3566769929696e-10,9.90563187031057e-11
1.04598698591474e-08,5.01290342569405e-10,2.31026753283459e-10,1.33092203924434e-10,9.97888438547534e-11
5.50255027098601e-08,3.35180327937223e-10,1.50471413107311e-10,1.27930555038347e-10,9.89768267345426e-11
5.95553575344354e-08,3.76761288833904e-10,1.86555881853678e-10,1.42602485375676e-10,1.00887298515318e-10
2.3683095928817e-08,1.06418718281986e-09,1.88315585347709e-10,1.30291555322515e-10,1.00373931388731e-10
2.01202932093025e-08,7.84489473382166e-10,1.89127824512525e-10,1.2464218546171e-10,1.00083497045489e-10
1.52791366225813e-08,4.40733005646621e-10,1.72339253978748e-10,1.43676293085093e-10,1.00839003813746e-10
8.05324880115421e-08,5.32031974032066e-10,1.5927958951778e-10,1.26582744286452e-10,1.00355945775732e-10
7.23175297423495e-09,4.61012561459029e-10,1.91812121741464e-10,1.30634170147914e-10,1.00265573621527e-10
5.62497062261968e-08,4.53776904940639e-10,1.75919945277769e-10,1.23114407557523e-10,9.94890836381046e-11
1.74731830115959e-08,6.45854925096501e-10,1.66698432835233e-10,1.26675447909008e-10,9.90385551347117e-11
1.31516842083457e-07,4.62946569967926e-10,1.9733259470911e-10,1.35260025402317e-10,9.94311299962192e-11
4.89251188451334e-08,4.42736514116859e-10,1.92857618763753e-10,1.23861698675398e-10,1.02437502924602e-10
1.31961450655638e-08,4.57386573060603e-10,1.84930848412534e-10,1.24321997141408e-10,9.95479254584097e-11
1.43284994980064e-08,5.62191848629823e-10,1.70717440184376e-10,1.27511667891156e-10,9.98807703211924e-11
6.53057223853892e-08,5.44852829520437e-10,1.47222234403444e-10,1.26332388994399e-10,1.00165875593916e-10
6.43327560112539e-08,5.60624213719052e-10,1.84759985089045e-10,1.32302835353926e-10,1.00779384837324e-10
2.93921018634791e-08,4.53418635970593e-10,2.10303330305806e-10,1.35235489473473e-10,1.00072838904453e-10
2.0324343541489e-08,4.81207296232355e-10,1.76303416310475e-10,1.32195587809747e-10,9.91254855975399e-11
1.63431164157402e-08,6.33860741672265e-10,1.78275838536024e-10,1.20153886840058e-10,1.00046859685676e-10
3.2842472741379e-08,4.01080502143714e-10,1.80482073730559e-10,1.31617383658522e-10,1.00251140722207e-10
8.23974449781772e-08,5.08170838742217e-10,1.77419745561735e-10,1.44677381186398e-10,9.8969721307185e-11
2.8747104918736e-08,5.58851631637935e-10,1.94831706323839e-10,1.27450494602499e-10,9.93765070234076e-11
2.52864957861476e-08,4.44336567539949e-10,1.78075554302382e-10,1.28146160349729e-10,9.88985560113065e-11
8.3498654657177e-09,5.05501418501808e-10,1.82332593468004e-10,1.33181465855614e-10,9.91677850947781e-11
2.77412937066401e-08,5.8074234310368e-10,2.34536390308904e-10,1.25989108035185e-10,1.01125552376402e-10
4.79561976796106e-08,5.79928327582024e-10,1.87956983310755e-10,1.33131505819506e-10,1.00996100371731e-10
7.5296131551994e-09,3.88117760152795e-10,1.83875692449931e-10,1.34447342148292e-10,9.93307658347931e-11
1.00765010779824e-08,4.17798684537729e-10,1.66555436109661e-10,1.36484601398479e-10,9.93762849788027e-11
1.50450963465332e-07,4.43612035994079e-10,1.63780766726518e-10,1.35982225479836e-10,1.00001118497062e-10
1.17584328718223e-07,8.78834116591065e-10,1.71671010740226e-10,1.34191435741116e-10,9.94679894006367e-11
1.11119252688141e-08,3.98239885512908e-10,1.74090186710885e-10,1.22932553026089e-10,9.94163640299917e-11
9.69578062282039e-09,5.76897640769403e-10,1.88537074841122e-10,1.18271614724108e-10,9.8449803864753e-11
2.37101487332581e-08,4.10298683917176e-10,1.84969151106884e-10,1.36715527787601e-10,9.96396298802438e-11
2.54288926582191e-08,3.43814310355128e-10,1.71914926738737e-10,1.29244615010293e-10,1.00930042101766e-10
3.96342154651563e-08,5.58259327654298e-10,1.80308434849508e-10,1.33038025040833e-10,9.99664795386934e-11
2.49396518992029e-08,6.24472806798337e-10,1.7676127228583e-10,1.37748257245107e-10,9.80191483535009e-11
8.8238325313128e-08,6.97817026384939e-10,1.80151671358431e-10,1.24053878280961e-10,9.8227537215223e-11
2.26146027459961e-08,4.59244087203103e-10,1.66883395991135e-10,1.34295907727733e-10,9.98515714556447e-11
6.50786906586376e-08,3.75900199856005e-10,2.14210982285579e-10,1.34438904453305e-10,9.95701299189022e-11
6.37458310581707e-08,6.52539577927769e-10,1.97476257568496e-10,1.21630816529716e-10,1.0123502036663e-10
1.50879921889668e-08,5.48741052597279e-10,1.85294335430797e-10,1.34431688003644e-10,1.00562447258312e-10
3.60455274517335e-08,6.4936744870181e-10,1.94898874816829e-10,1.33191901952046e-10,1.01458841328395e-10
1.13725282524513e-08,1.21033560951389e-09,2.37863284624495e-10,1.26569643654761e-10,1.03063557688188e-10
1.07019368922323e-08,6.3228478008881e-10,1.786489844946e-10,1.26727517368863e-10,9.83693126954677e-11
2.07623598313944e-08,6.47861986280418e-10,1.78454584442989e-10,1.43629219628849e-10,1.00805586100705e-10
1.82245332158715e-08,5.20356646660503e-10,2.12621031892013e-10,1.38413724926068e-10,9.8904440193337e-11
2.67896016481473e-08,5.15801290568163e-10,1.79676051814681e-10,1.24160459691325e-10,1.00455421758738e-10
9.28140619915752e-09,4.20432355596745e-10,1.93313587359967e-10,1.38110078928833e-10,1.02190922390832e-10
1.0103718528498e-08,5.04497332798337e-10,2.04319006158471e-10,1.28517863018374e-10,1.00633723576493e-10
6.01170603298229e-08,6.31920626936733e-10,2.20899742942038e-10,1.35980116056089e-10,1.00896402344119e-10
1.5492167548814e-08,4.78108108659114e-10,1.71535674553525e-10,1.34820599129171e-10,9.91057236277015e-11
7.94246313162716e-09,5.01099384209169e-10,1.72174718926499e-10,1.25493282432387e-10,9.93504167823289e-11
1.45823823016755e-08,4.85260276406052e-10,1.90343296679885e-10,1.25456200983365e-10,1.01674002550567e-10
2.88254899949436e-08,7.19363901779957e-10,2.53935095173574e-10,1.31980870676784e-10,9.90605375505993e-11
1.26361183738766e-08,5.71036107288592e-10,1.8919521505012e-10,1.43203449098905e-10,9.93400917081999e-11
1.39459999104474e-08,4.25026902561854e-10,1.97860394735017e-10,1.37168831848555e-10,9.87485648806796e-11
1.92874977100743e-08,5.31969135408872e-10,1.68819846990687e-10,1.19457332914408e-10,1.00196073660186e-10
2.50761191811222e-08,5.58463608690829e-10,2.14646966867349e-10,1.38789646442206e-10,9.97517624057309e-11
8.331563017272e-08,4.5244918922549e-10,1.90940152577923e-10,1.30570443346301e-10,1.00110253420382e-10
1.93211646681846e-08,4.26721546986641e-10,1.73153047455799e-10,1.34700917087116e-10,1.0098344382925e-10
1.35622855168549e-08,4.19636547732694e-10,2.33390862192095e-10,1.29070532040032e-10,9.89071047285961e-11
1.03760069425363e-08,4.29904445375939e-10,1.7429646614886e-10,1.37262423649531e-10,1.00150110426966e-10
3.5326494063348e-08,6.98857416381315e-10,2.06608952169063e-10,1.31905042444203e-10,9.87998571844173e-11
1.93790208324884e-08,4.17859746804083e-10,1.536899496557e-10,1.22016730053076e-10,1.0230172264869e-10
2.70098851062883e-08,4.176711199122e-10,1.65610303248798e-10,1.2615164468599e-10,9.97448790229782e-11
3.31998704083958e-08,4.33152291812178e-10,2.08509876031826e-10,1.30073729565083e-10,1.01820329945213e-10
1.90819383627527e-08,5.16619635959614e-10,1.82098336409808e-10,1.4600387565622e-10,9.94210269666951e-11
3.68675867612467e-08,4.29142499314139e-10,1.64067426311476e-10,1.26131105560034e-10,1.00535357816511e-10
2.73122442440155e-08,5.14914444416092e-10,1.65479629998799e-10,1.3902790030329e-10,1.01100350313743e-10
1.65870184476447e-07,4.80205319952631e-10,1.99833705138985e-10,1.32914790285099e-10,1.00100594480068e-10
9.82593451048785e-09,2.76104694663104e-10,1.95531146829353e-10,1.34703470600073e-10,9.9573682632581e-11
