"V1","V2","V3","V4","V5"
1.72622030003566e-08,3.37024408381126e-10,1.68592584337546e-10,1.34488198355598e-10,9.81352776818767e-11
2.26841698758307e-08,4.47402448422451e-10,1.84516180112837e-10,1.20582654972168e-10,9.97202320718316e-11
2.01279977130042e-08,6.54032050739772e-10,1.66321179051465e-10,1.22416521364244e-10,9.92157467294419e-11
5.26773137332626e-08,7.54869389218982e-10,1.72054592795234e-10,1.24748655849771e-10,1.01819441766793e-10
2.41024562530612e-08,3.36499605957385e-10,1.61496149786444e-10,1.35288003022538e-10,9.91755566559505e-11
1.20222332089526e-08,4.13575396152055e-10,2.08936645762492e-10,1.37966860158656e-10,1.01431085752779e-10
2.25583840496313e-08,7.98563215553827e-10,2.01044625391944e-10,1.24393051414984e-10,1.01684771713906e-10
1.03762294312304e-08,4.57712756585238e-10,1.47372114511768e-10,1.2021938999851e-10,9.88313875183167e-11
1.38506180968889e-08,4.66971683543704e-10,1.72405978382528e-10,1.25950250229323e-10,9.86128956270704e-11
1.84243260648032e-08,4.41802150419335e-10,1.82696302530871e-10,1.28668631305118e-10,1.00782937551003e-10
1.2752301881136e-08,3.05969360958613e-10,2.56613619242785e-10,1.23253962591718e-10,9.85780346240972e-11
4.62240845600093e-09,4.29641655586011e-10,1.75360392873358e-10,1.35326527761492e-10,1.00609187647649e-10
2.45699121048659e-08,3.73690189903186e-10,2.04692929273165e-10,1.22728938123373e-10,1.00449981665918e-10
1.57417249235792e-08,3.89412058154903e-10,2.06962447180103e-10,1.22220900067305e-10,9.96942528530553e-11
7.35209360058775e-09,7.71166241975152e-10,2.25410357046485e-10,1.5283108112385e-10,9.93034543483873e-11
3.17174453368096e-09,3.27733840066458e-10,1.63948188358631e-10,1.33127731061222e-10,9.86128956270704e-11
3.13269590268561e-08,5.17474507688576e-10,1.87095894332856e-10,1.22682530800944e-10,1.00431662986011e-10
7.37122674010493e-08,3.62714303037137e-10,1.87328597078817e-10,1.29449118091429e-10,9.99422766767566e-11
2.84929392302402e-08,4.19000611984188e-10,1.58809188022246e-10,1.4741097231763e-10,1.00593533503002e-10
4.89081724008855e-08,2.91129786944566e-10,2.2037416336218e-10,1.32003297181882e-10,1.00199182284655e-10
1.16247527159885e-08,6.71246613848098e-10,2.03060679382361e-10,1.28206334437664e-10,1.00365604716046e-10
1.27316989173565e-08,4.39362990434233e-10,1.56416657404179e-10,1.36352373836246e-10,9.88042980765158e-11
4.72846668486682e-08,4.75789740939092e-10,1.95241378619926e-10,1.33114630429532e-10,9.99205163054739e-11
2.22284711748344e-08,5.05386621441062e-10,1.86244353272969e-10,1.40228273437515e-10,9.84816672655597e-11
1.30360006345143e-07,5.53382006884817e-10,3.30300675699391e-10,1.30616184534915e-10,9.99867966200441e-11
9.82045729180925e-08,4.04538513798514e-10,1.91364035728725e-10,1.39754319228302e-10,1.00011332548888e-10
4.93940787160696e-08,4.48419523735311e-10,2.21825224855365e-10,1.35087829811198e-10,9.87114834316571e-11
2.50099854159913e-08,4.93968754788909e-10,1.9924106808844e-10,1.3795398157157e-10,1.01169739252782e-10
3.40182552127644e-08,6.39278407987831e-10,1.99001259915121e-10,1.34437461163373e-10,9.94305748847069e-11
7.64426444366251e-09,3.31025873379076e-10,2.28402963209362e-10,1.34185884625992e-10,1.00676356140639e-10
1.39343225846744e-08,5.56166890319787e-10,1.67643232629189e-10,1.32317934387061e-10,9.93272131211143e-11
4.11188562088327e-08,6.97069513222459e-10,1.53517643042278e-10,1.46100687103967e-10,1.00180974627051e-10
3.09540122422902e-08,3.30943938919859e-10,1.91639371038832e-10,1.33444921779358e-10,1.00181973827773e-10
4.53544403145045e-08,3.4263314407923e-10,1.78436376785385e-10,1.40129019499113e-10,1.0084322266124e-10
1.91810389793545e-08,6.34254204712192e-10,2.07644790251038e-10,1.25959909169637e-10,9.82642855973381e-11
2.43374740360736e-08,3.52026408023676e-10,2.0977064529859e-10,1.62772684220158e-10,1.01686215003838e-10
4.01981223863146e-08,9.34945121322528e-10,1.82030834849911e-10,1.28776656005414e-10,9.88608084284692e-11
