"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
666,666,0.111000555633513,666,0.0709497788349478,666,0.0818975215235208,0.704065957240753,0.113780819264733,0.676517125130366
666,666,666,666,666,666,666,666,0.203409276769512,0.303420668811287
666,666,666,666,666,666,666,666,666,666
0.418816467947289,0.451763843421321,666,666,666,666,0.172690173583551,0.156089034658341,666,666
666,666,666,666,666,666,666,666,0.0145831652477357,666
666,666,0.464435930397235,666,666,666,0.487927346585079,0.376608244634297,666,666
0.0763354233892598,0.586262182887628,0.458087462439108,666,666,666,666,666,666,666
666,666,0.192929771249415,666,0.151144079462361,0.951523706692067,666,666,0.264944975291273,666
0.171660426276147,0.371140342244795,0.278259708052326,0.375967559246529,0.396381119647018,666,0.370820156831654,0.119118908649888,666,666
666,666,0.463813825213466,666,0.493344821045471,666,0.15325728840728,666,0.201131173422544,666
666,666,666,666,0.0318420612378758,666,666,666,0.48481082609019,0.924731915152006
0.365971984271584,0.335281776160097,0.127227083401987,0.754816614018864,666,666,0.177013653002375,0.698900956696946,0.246175521144521,0.046031119303771
666,666,0.142572005297435,0.746472689983874,666,666,666,666,666,666
0.37946554951926,666,0.123338209667627,666,0.372500776810914,0.848301562391631,666,666,0.130870895933655,666
0.382741855972839,0.164284733057259,0.250044500832058,0.0924658694595037,0.260603739126684,666,666,666,666,666
0.227047491327679,0.0911805121435907,666,666,666,666,0.430269347069859,666,0.254782956782553,0.168374105168208
0.356437563579028,666,0.129603181525465,0.269606331712915,666,666,666,666,0.179020950473064,666
0.154168888845318,0.303713697404371,0.412025993383534,0.522171534457347,0.092680202216646,0.772354740205854,0.313637722531766,666,0.0823728243246735,666
666,666,666,666,666,666,0.195265509831544,0.151020071161039,666,666
666,666,0.207722808580983,666,666,666,666,666,0.204290602483894,666
666,666,0.343479562012127,0.944877909561025,0.333152891935631,666,0.461260109316878,0.513018174773625,666,666
666,666,666,666,666,666,666,666,0.0385073346184074,666
0.192863159082548,0.222691105311914,0.231330360770276,666,666,666,0.481929865126475,666,666,666
0.388831217355321,0.117717442813417,0.470549654133839,0.312146980593716,666,666,0.489128296638573,666,0.216813747574478,666
0.29633950228032,0.574918873657832,0.439592442807948,666,666,666,0.185583933757587,0.516319682401564,666,666
666,666,666,666,0.34582056875018,0.132165984700109,666,666,0.327160661089285,0.504682223524975
0.473273873895062,666,666,666,0.45695195748815,0.0810349701964181,666,666,666,666
666,666,666,666,666,666,666,666,666,666
0.188479950834717,0.837409994457869,666,666,0.0693340450878779,0.0522069347113807,0.309073568729168,666,666,666
0.461124653303931,666,0.235980578662945,0.0829270957537709,666,666,0.230061928567614,666,0.11299727399232,666
666,666,666,666,666,666,666,666,0.0335156770649085,0.538490228777189
666,666,666,666,0.445881306441853,0.337159649172305,666,666,666,666
666,666,0.0498700903823404,0.868521187366753,0.476497968493226,0.77106253696694,666,666,666,666
666,666,0.156472199243968,0.832740612394934,666,666,666,666,666,666
666,666,0.184897047806019,0.631963792497071,0.0821322946949101,666,0.493019942584007,0.654570596710609,666,666
666,666,666,666,0.0757093261229931,0.561662903169663,0.112834339178768,666,0.239738359606872,0.821680701422312
666,666,666,666,666,666,666,666,666,666
0.246475820291659,666,666,666,0.391752023483696,0.258860489103384,666,666,666,666
666,666,666,666,0.131174928148827,0.0491160211434372,666,666,0.257305187332158,0.300594470970958
666,666,0.0726397875340766,666,666,666,666,666,0.243631434489313,666
