"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
666,666,0.317410305942525,666,0.0133666146352001,0.00260433176361197,1.74664291874294e-06,8.78422750094643e-08,666,666
666,666,0.0657875867628068,666,666,666,666,666,0.128711733883162,0.0712015203890295
0.393880431868145,0.453877494199689,0.0698130199414438,0.048771886461231,666,666,666,666,1.76678893737403e-10,3.44391182238724e-12
666,666,0.0597033778647259,0.0393961591644634,666,666,666,666,666,666
0.0158614669127854,0.0162187461495855,666,666,666,666,666,666,666,666
666,666,666,666,0.0297894516142255,0.126055287395759,0.0119627255540657,0.000534602704104437,666,666
666,666,666,666,666,666,666,666,5.32907051820075e-15,0
666,666,666,666,666,666,666,666,666,666
666,666,666,666,1.8737317464268e-06,5.03771660831376e-07,666,666,666,666
666,666,0.00106696971573816,0.00190673061986768,666,666,0.0070766112957481,0.0460908034044893,3.29053491410214e-06,1.39096778761783e-07
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
0.0736003916069756,0.074136711800856,666,666,666,666,3.47194717420507e-09,8.71853700346037e-10,666,666
666,666,666,666,666,666,666,666,666,666
666,666,0.0087706890612631,0.011468214781317,0.00390319905951686,0.00196912191134313,666,666,666,666
666,666,666,666,666,666,666,666,0.00568631133960629,0.00208173814894108
666,666,666,666,0.00266859084258597,0.00260782090489053,666,666,666,666
666,666,0.249316629435325,0.678432792586859,0.224444207409273,0.160882966333977,1.22008824821052e-06,2.40469272272392e-07,0.00862803418178881,0.00012355350213511
666,666,666,666,666,666,0.000301680680893646,2.26752220777726e-05,666,666
0.345329668465238,666,666,666,666,666,0.302125954956331,666,666,666
666,666,666,666,1.21716974987862e-06,1.60352619404946e-07,666,666,666,666
0.0374166100051703,0.231876883027699,0.117016257306482,0.0932206927528609,666,666,666,666,666,666
666,666,0.0468400218893954,0.0113248683564371,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,0.0268625335354467,666,0.369109766274752,0.35439576328522,0.0266056287512658,0.0932711149672434,666,666
0.250862179526519,0.498278087496792,666,666,666,666,666,666,666,666
666,666,666,666,666,666,1.7290314349161e-06,1.75885770570261e-06,666,666
666,666,0.0019557338838363,0.00326539274096405,666,666,666,666,666,666
666,666,666,666,0.00040882348281901,5.4664032576035e-05,666,666,3.8377043765081e-09,4.7724046936537e-12
666,666,666,666,0.0216805875392605,0.026753801918423,0.0211204781591047,0.0230791300147986,666,666
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
0.00654589639745506,0.00767492640648371,666,666,666,666,0.409812692247204,666,666,666
0.0128229249933223,0.033122887644697,666,666,666,666,666,666,666,666
0.0365101203443097,0.0381532976939893,666,666,666,666,0.0558456955663102,0.00450265384754633,666,666
666,666,666,666,666,666,666,666,666,666
666,666,666,666,0.347321174616605,0.568040064640699,666,666,666,666
0.367340965809756,0.352412354432218,666,666,2.26458476415559e-08,1.33862361195725e-08,666,666,0.0264829890404399,0.00184475475816748
0.010552688618112,0.0105268415822124,666,666,666,666,3.78393734545845e-06,5.00010263415618e-07,666,666
666,666,0.212852272575755,666,2.27740795906151e-05,3.79066727562716e-06,666,666,666,666
0.0429308153372434,0.071764574180984,0.0157777001663975,0.0221647573837567,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
0.397458022642319,666,0.0892764684515412,0.240413142780989,0.0141077292351612,0.648195788834269,0.471208205814523,666,0.132226036263853,0.0311917443441136
666,666,666,666,0.0668490779891874,0.317927405912171,0.000326936195831129,6.317272894929e-05,0.0953190059793514,0.657003131587748
666,666,0.0265014270450066,0.00887206223531933,666,666,666,666,666,666
666,666,0.000830677718575146,0.000358678503750598,666,666,666,666,666,666
666,666,666,666,666,666,666,666,0.0464498318492763,0.000347434995612073
666,666,0.308768378857851,0.188468929494857,0.052397507012919,0.068358945736271,666,666,666,666
0.305528018710491,0.197737152188889,666,666,666,666,5.31690866889534e-08,4.42008829537599e-09,666,666
666,666,666,666,666,666,5.5321534353503e-08,2.26193248575868e-08,666,666
666,666,0.00530336971259682,0.0162814111135643,666,666,1.76557633577712e-05,7.93439811630492e-06,666,666
666,666,666,666,666,666,666,666,666,666
0.0426930104542892,0.0916224195939852,0.418128608442653,666,0.42240492757056,666,0.000321607200798768,1.37500333718954e-06,666,666
0.00733512149380422,0.0118953878398498,666,666,666,666,666,666,1.2373868596427e-09,3.01848546158112e-10
666,666,0.0444378599174379,0.06315968541371,0.168563884697805,0.224410894862817,666,666,666,666
666,666,0.396327820994767,0.541661274795498,0.00868637490070656,0.0242695483448048,666,666,0.390249327763579,0.378273658648899
666,666,0.433646745453273,666,1.32167871536026e-07,7.54727444984837e-08,666,666,2.27414785225477e-07,7.97646615424696e-10
666,666,666,666,666,666,666,666,2.89915277118524e-07,1.07580566321985e-06
666,666,666,666,0.140386015659692,0.308856111567238,666,666,666,666
0.482314644498723,0.368021023004776,666,666,666,666,8.09142863822387e-10,3.93978183410582e-11,666,666
666,666,666,666,666,666,666,666,6.41929953637543e-09,4.40747438545941e-10
666,666,666,666,666,666,1.44608215562059e-05,9.18842574915146e-07,666,666
0.0362477972483384,0.0797508332078767,0.00366834468167587,0.00116536606478057,666,666,666,666,666,666
0.0565609090897271,0.0189066467175203,666,666,666,666,666,666,666,666
0.0556115617912187,0.125667821826873,666,666,666,666,7.10442935409894e-05,0.000267627838199669,666,666
666,666,666,666,666,666,666,666,666,666
0.406739532501786,0.159725158722929,666,666,666,666,8.92123350326735e-06,3.59171473673925e-07,666,666
666,666,666,666,0.050283906382928,0.00275665492427413,8.53276905636857e-05,0.000366410330665534,666,666
666,666,666,666,666,666,666,666,666,666
0.242988153222127,0.0989968430227652,0.0423510137642671,0.157832813857804,666,666,666,666,0.0728551697854809,0.063069582895215
666,666,666,666,666,666,666,666,0,0
0.00824477156176839,0.0104474717567777,0.0868117237710722,0.156423373167826,666,666,0.169915033490595,0.282954217450832,666,666
0.0272757853187078,0.0332669474675877,666,666,0.0222211379564996,0.0998819793438872,1.11098441557544e-09,1.25548904605921e-10,6.10622663543836e-14,2.22044604925031e-16
666,666,666,666,666,666,666,666,666,666
666,666,666,666,0.181066442254376,666,666,666,666,666
666,666,0.130960595599126,0.355336183606529,666,666,666,666,666,666
0.0699247446254475,0.116645365655071,666,666,666,666,666,666,666,666
666,666,666,666,666,666,2.8373807441584e-05,1.94553297341304e-05,666,666
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,1.48795420429337e-10,2.22044604925031e-13
0.214986357659577,0.199934710343324,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,3.01617546716315e-07,1.44408107694005e-07
666,666,0.128669368103576,0.958755519419429,666,666,666,666,666,666
666,666,666,666,4.03492784517567e-07,2.24277311389187e-07,666,666,666,666
666,666,666,666,666,666,0.0217618737206601,0.0435118994628361,0.0404496285597294,0.106384832701428
666,666,666,666,666,666,666,666,1.69779535785786e-06,1.81902137796897e-09
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,0.00363273915207696,0.00325032169302841,8.99456648739694e-06,3.97801597040726e-06,0.000990286312275823,0.000968680937965871,666,666
666,666,0.0264049869360812,0.00158439334229854,0.000109479323531891,5.32680265727947e-05,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,0.0618205633969433,0.0669240996357234,666,666,666,666,666,666
0.0235611718759148,0.0329608465584088,0.142272950959387,666,666,666,7.41197916376279e-07,1.29288064698585e-08,666,666
666,666,0.000162498321802929,0.000152079539844419,666,666,0.000602951131298379,0.00024515505711209,666,666
0.253598729461851,0.15261260171266,666,666,0.00200374421898941,0.0022127410470878,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,0.387198367919902,0.801017772483702,666,666
0.0247065439126828,0.0221769684507387,666,666,666,666,666,666,0,0
666,666,666,666,666,666,0.00650907594292027,0.00197440262690485,7.7715611723761e-15,0
666,666,0.000412411825571057,0.000267460897772409,666,666,666,666,0.108455620735646,0.261101528191721
0.425698284045666,0.899309389500424,666,666,666,666,5.83656978858649e-07,6.25995211223085e-08,3.65829967985398e-06,2.27593810464555e-09
0.0820908141920799,0.0553908060042629,666,666,666,666,666,666,666,666
666,666,666,666,0.00614756396175764,0.00664719486152787,666,666,0.075908408613853,0.00337806852193578
