"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.285346635023012,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,2.1094237467878e-15,0
666,666,666,666,0.487038083770646,0.59854035757264,666,666,666,666
666,666,666,666,0.130120532417854,0.257895424873645,666,666,666,666
0.0988754120396973,0.0579378607219887,0.00656641089817622,0.0154130515259183,666,666,666,666,0,0
0.0692814122281478,0.260109681410282,666,666,666,666,666,666,2.22044604925031e-16,0
666,666,666,666,666,666,0.386871008773977,0.710182915633248,666,666
666,666,0.0255367972560215,0.0801462077819564,0.0858646820026898,0.091150681083578,666,666,666,666
0.207577501706391,666,0.0380880759450528,0.188089046220932,666,666,666,666,0.0211605684743981,0.00776856558172767
666,666,666,666,0.0467143165115944,666,666,666,3.72944275461862e-09,1.25588428545598e-12
666,666,0.00405420371551135,0.00415299604692665,666,666,666,666,666,666
0.0227720516507429,0.036448236348543,0.0679887384879881,0.314916389221286,666,666,666,666,1.18283161043564e-12,2.04281036531029e-14
666,666,666,666,3.6781783062434e-05,2.39030998494538e-05,666,666,5.21445686629818e-08,6.39821973180688e-09
666,666,666,666,666,666,1.91513174285785e-06,5.33163055926877e-08,2.06849204431592e-10,3.09521297481297e-11
0.0574829426545556,0.191320059069228,666,666,0.000159788204927569,0.000168208186285046,666,666,666,666
0.00434720619206419,0.00795850299284218,0.128831974306591,666,666,666,9.59919506104967e-08,3.23249027545103e-09,666,666
0.0580246066380188,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
0.0321249213951367,0.0193759817757904,0.359693861997455,666,666,666,666,666,666,666
666,666,0.0328348344370639,0.0821722125071322,666,666,666,666,666,666
666,666,0.000181070861118737,0.000177924086669723,0.0280253404461865,0.200173679793806,666,666,666,666
666,666,666,666,666,666,0.438749169068064,0.202455693596078,666,666
0.199083566694436,666,0.16598641716402,0.155148857999664,666,666,666,666,666,666
666,666,0.00231621872059251,0.0007628389995602,0.000195002396154775,0.000252884173716161,666,666,0.22877725710148,0.173547444929573
0.0179524313392403,0.0266856655977235,666,666,666,666,7.8290642084422e-05,3.38981463632315e-06,666,666
666,666,0.0317066050997856,0.0827189436844264,8.03773189465007e-05,9.91984604370444e-06,666,666,0.00104283984787845,0.00370101999930705
666,666,666,666,0.0010427859776696,0.000568266052504152,2.36192570131077e-05,7.7799794762079e-07,666,666
0.217219829066196,0.40842507879414,666,666,666,666,1.00612616349416e-07,4.86591211767973e-09,666,666
666,666,666,666,666,666,666,666,0,0
666,666,0.486650115657565,0.303732444988096,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,0.219905453477451,0.0689878866110425,666,666,0.119572862078063,0.22022075944647,0.146376065166488,0.317876330256889
666,666,666,666,666,666,666,666,6.53766596414584e-10,1.08801856413265e-11
666,666,666,666,666,666,666,666,666,666
0.355311001936746,0.299953171882035,666,666,0.23688006535685,0.856917830413796,666,666,666,666
0.0660540970715534,0.127661110435094,666,666,666,666,4.96238826720452e-05,2.2046260172992e-06,666,666
0.181895766999066,666,0.150831275767372,0.198424767984597,0.000485334275303728,0.000139178806392248,2.60332368995364e-08,6.92568935534155e-09,666,666
0.00612816071995947,0.00929581653956202,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,0.0172843586074218,0.0190214024190754
666,666,0.06042803021742,0.00621130055047581,0.000506848346486954,0.00166062791710098,666,666,1.66533453693773e-14,0
0.130000706777287,0.0468633178664546,0.101376004762633,0.0116175141978281,666,666,666,666,666,666
666,666,0.00972889892153517,0.00675150761174659,0.0493349874836229,0.0384201166677109,666,666,1.01884767499394e-05,1.0042891231965e-06
666,666,0.0225332528465119,0.0228567234033066,666,666,666,666,0.0209194996424422,0.0604553431804513
666,666,0.424391546145426,666,666,666,1.71196390397199e-13,6.23945339839338e-14,1.52562485311591e-07,2.26452780083264e-07
666,666,666,666,666,666,0.312929604281949,666,666,666
666,666,666,666,666,666,3.29113403196857e-10,7.06257274885047e-11,0.217827388350368,0.511880500883465
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
666,666,666,666,666,666,666,666,666,666
0.493571782310955,0.67574626744078,666,666,666,666,666,666,0,0
666,666,666,666,666,666,666,666,0.446521091287504,0.158046928032934
0.0546572440747723,0.160404355159209,666,666,666,666,666,666,2.28190108255699e-05,2.27669057983881e-06
0.402527088411047,0.838390695020342,666,666,0.00072468226434097,0.000265060150651308,666,666,666,666
0.262186954634665,0.755696891780299,666,666,666,666,0.00586902853892024,0.0148977179493686,666,666
0.259144531521561,0.790530569902819,0.242991870241719,666,3.31553321930578e-06,3.0685801426511e-06,3.29585692071532e-10,2.92743607133161e-12,666,666
666,666,666,666,5.48005575606858e-06,9.55455306872466e-07,666,666,666,666
0.0579243739662493,0.111153834574458,666,666,666,666,666,666,666,666
0.0297043688815573,0.0647826620483327,666,666,666,666,666,666,0.0072288389883145,4.76193849860973e-05
666,666,0.00139474765813019,0.000444828920831863,0.00126240718673543,0.00281668427292225,666,666,666,666
666,666,666,666,0.000492381574678014,0.00527929550976891,666,666,666,666
666,666,0.131976371096766,0.0124934940160504,666,666,0.0001498137942475,6.75161668106661e-06,666,666
0.0200350460618288,0.0433569293984091,666,666,0.0604228293210933,0.0262952638931135,666,666,666,666
0.0616359678176309,0.0499359274910298,666,666,666,666,666,666,666,666
0.0151370513249449,0.0770595481279961,666,666,0.00010649860969858,9.3918403050175e-06,666,666,666,666
666,666,666,666,666,666,666,666,0.000415574699550114,0.000325271653281112
666,666,666,666,0.162449874332503,0.282833771690111,666,666,1.12145337460845e-09,4.19569268217401e-10
666,666,666,666,666,666,0.0486416677751961,0.2990100905215,666,666
0.174541523602695,666,666,666,666,666,666,666,666,666
666,666,666,666,0.00390586279302407,0.00694893483676484,666,666,0,0
666,666,666,666,666,666,666,666,1.01343631553341e-06,6.0867699769318e-09
0.390201177762502,0.557949477622603,666,666,666,666,0.0501548646099526,0.0866038350151586,0.122569488318676,0.437380079931839
666,666,666,666,0.000220964305577498,3.14394708482713e-05,666,666,666,666
0.198180851228896,0.782711464505731,0.139395672258864,0.194232321720517,666,666,666,666,5.55111512312578e-16,0
666,666,666,666,666,666,666,666,666,666
666,666,666,666,2.24082445474671e-05,6.15110557378173e-06,3.98059363249104e-12,5.63327162694804e-13,0.00536813108535483,3.07288399215011e-05
